"target_gene"	"experiment_id"	"cell_line"	"gene_silencing_series"
"EFTUD2"	"ENCSR117WLY"	"K562"	"ENCSR136YDL"
"EIF2S1"	"ENCSR861ENA"	"HepG2"	"ENCSR566IBA"
"EIF2S1"	"ENCSR546MBH"	"K562"	"ENCSR587XOX"
"EIF2S2"	"ENCSR110HAA"	"HepG2"	"ENCSR547UVP"
"EIF2S2"	"ENCSR076PMZ"	"K562"	"ENCSR487WDI"
"EIF3A"	"ENCSR258VGD"	"K562"	"ENCSR475GEI"
"EIF3D"	"ENCSR788HVK"	"HepG2"	"ENCSR186NTP"
"EIF3D"	"ENCSR660ETT"	"K562"	"ENCSR940GDT"
"EIF3G"	"ENCSR778AJO"	"HepG2"	"ENCSR548LCO"
"EIF3G"	"ENCSR143UET"	"K562"	"ENCSR791UFD"
"EIF4A3"	"ENCSR957EEG"	"HepG2"	"ENCSR263EJV"
"EIF4B"	"ENCSR313CHR"	"HepG2"	"ENCSR113GLI"
"EIF4B"	"ENCSR774BXV"	"K562"	"ENCSR172VUX"
"EIF4G1"	"ENCSR509LIV"	"HepG2"	"ENCSR885LXL"
"EIF4G1"	"ENCSR712CSN"	"K562"	"ENCSR006GDY"
"EIF4G2"	"ENCSR152MON"	"HepG2"	"ENCSR030SUW"
"EIF4G2"	"ENCSR040FSN"	"K562"	"ENCSR051ACD"
"ESF1"	"ENCSR060IWW"	"HepG2"	"ENCSR784YIW"
"ESF1"	"ENCSR077BPR"	"K562"	"ENCSR484XYM"
"ETF1"	"ENCSR840QOH"	"HepG2"	"ENCSR996VFO"
"EWSR1"	"ENCSR532ZPP"	"HepG2"	"ENCSR604BHV"
"EWSR1"	"ENCSR831YGP"	"K562"	"ENCSR911KXX"
"EXOSC9"	"ENCSR597IYB"	"HepG2"	"ENCSR379WHE"
"EXOSC9"	"ENCSR812EIA"	"K562"	"ENCSR117YHI"
"FAM120A"	"ENCSR047VPW"	"HepG2"	"ENCSR602MKX"
"FAM120A"	"ENCSR492BKM"	"K562"	"ENCSR712BXM"
"FASTKD1"	"ENCSR728BOL"	"HepG2"	"ENCSR506CST"
"FASTKD2"	"ENCSR716WZH"	"HepG2"	"ENCSR384FLZ"
"FASTKD2"	"ENCSR608IAI"	"K562"	"ENCSR610SZF"
"FIP1L1"	"ENCSR116QBU"	"HepG2"	"ENCSR563NSV"
"FIP1L1"	"ENCSR511BNY"	"K562"	"ENCSR121BDY"
"FKBP4"	"ENCSR639LKS"	"HepG2"	"ENCSR018EQF"
"FKBP4"	"ENCSR379VXW"	"K562"	"ENCSR355DBE"
"FMR1"	"ENCSR905HID"	"HepG2"	"ENCSR560IJH"
"FMR1"	"ENCSR555LCE"	"K562"	"ENCSR570ERU"
"FUBP1"	"ENCSR736TAW"	"HepG2"	"ENCSR045SMK"
"FUBP1"	"ENCSR608IXR"	"K562"	"ENCSR452GOM"
"FXR1"	"ENCSR009PPI"	"HepG2"	"ENCSR180ZGG"
"FXR1"	"ENCSR780YFF"	"K562"	"ENCSR196OST"
"FXR2"	"ENCSR139BIJ"	"K562"	"ENCSR972GKH"
"G3BP1"	"ENCSR074UZM"	"HepG2"	"ENCSR105ARZ"
"G3BP2"	"ENCSR945UYL"	"HepG2"	"ENCSR605PVH"
"G3BP2"	"ENCSR246SOU"	"K562"	"ENCSR272PIC"
"GEMIN5"	"ENCSR771QMJ"	"HepG2"	"ENCSR560CDR"
"GEMIN5"	"ENCSR398GHW"	"K562"	"ENCSR817ZSP"
"GLRX3"	"ENCSR874DVZ"	"K562"	"ENCSR367SEJ"
"GNB2L1"	"ENCSR116YMU"	"HepG2"	"ENCSR699MDT"
"GPKOW"	"ENCSR968YWY"	"HepG2"	"ENCSR287SRR"
"GPKOW"	"ENCSR967QNT"	"K562"	"ENCSR888VLT"
"GRSF1"	"ENCSR674KDQ"	"HepG2"	"ENCSR373VUD"
"GRSF1"	"ENCSR835RMN"	"K562"	"ENCSR423WRJ"
"HLTF"	"ENCSR010ZMZ"	"HepG2"	"ENCSR575OUX"
"HLTF"	"ENCSR958NDU"	"K562"	"ENCSR230SKS"
"HNRNPA0"	"ENCSR720BPO"	"HepG2"	"ENCSR069UQV"
"HNRNPA0"	"ENCSR552NBS"	"K562"	"ENCSR248OUZ"
"HNRNPA1"	"ENCSR182DAW"	"HepG2"	"ENCSR152VVM"
"HNRNPA1"	"ENCSR048BWH"	"K562"	"ENCSR596JUF"
"HNRNPA2B1"	"ENCSR769GES"	"HepG2"	"ENCSR281SSX"
"HNRNPA2B1"	"ENCSR794NUE"	"K562"	"ENCSR050NGU"
"HNRNPAB"	"ENCSR354XQY"	"HepG2"	"ENCSR418EER"
"HNRNPAB"	"ENCSR778WPL"	"K562"	"ENCSR894MMO"
"HNRNPC"	"ENCSR052IYH"	"HepG2"	"ENCSR308YXN"
"HNRNPC"	"ENCSR470PRV"	"K562"	"ENCSR056YOU"
"HNRNPC"	"ENCSR634KBO"	"K562"	"ENCSR865TSU"
"HNRNPD"	"ENCSR660MZN"	"HepG2"	"ENCSR857JCZ"
"HNRNPF"	"ENCSR392HSJ"	"K562"	"ENCSR839OIY"
"HNRNPL"	"ENCSR155BMF"	"HepG2"	"ENCSR826GBS"
"HNRNPL"	"ENCSR563YIS"	"K562"	"ENCSR369EIU"
"HNRNPLL"	"ENCSR490DYI"	"HepG2"	"ENCSR370RIN"
"HNRNPM"	"ENCSR995JMS"	"HepG2"	"ENCSR223RYC"
"HNRNPM"	"ENCSR746NIM"	"K562"	"ENCSR306PSB"
"HNRNPU"	"ENCSR308IKH"	"HepG2"	"ENCSR304WXJ"
"HNRNPU"	"ENCSR047IUS"	"K562"	"ENCSR409NTU"
"HNRNPU"	"ENCSR732ICL"	"K562"	"ENCSR243LLN"
"HNRNPUL1"	"ENCSR689ZJC"	"HepG2"	"ENCSR925FQW"
"HNRNPUL1"	"ENCSR034VBA"	"K562"	"ENCSR478HBC"
"HSPD1"	"ENCSR243IGA"	"HepG2"	"ENCSR610MSU"
"HSPD1"	"ENCSR222ABK"	"K562"	"ENCSR777FQO"
"IGF2BP2"	"ENCSR478FJK"	"HepG2"	"ENCSR663TDN"
